path,tenant,owner,confidentiality,effective_from,effective_to,source_url,description
documents/cisa_kev/cve-2025-31277_apple_multiple-products.md,default,cisa-kev,public,2026-03-20,2026-04-03,https://www.cisa.gov/sites/default/files/feeds/known_exploited_vulnerabilities.json,CISA KEV entry for CVE-2025-31277: Apple Multiple Products.
documents/cisa_kev/cve-2026-20131_cisco_secure-firewall-management-center-fmc.md,default,cisa-kev,public,2026-03-19,2026-03-22,https://www.cisa.gov/sites/default/files/feeds/known_exploited_vulnerabilities.json,CISA KEV entry for CVE-2026-20131: Cisco Secure Firewall Management Center (FMC).
documents/cisa_kev/cve-2025-66376_synacor_zimbra-collaboration-suite-zcs.md,default,cisa-kev,public,2026-03-18,2026-04-01,https://www.cisa.gov/sites/default/files/feeds/known_exploited_vulnerabilities.json,CISA KEV entry for CVE-2025-66376: Synacor Zimbra Collaboration Suite (ZCS).
documents/cisa_kev/cve-2026-20963_microsoft_sharepoint.md,default,cisa-kev,public,2026-03-18,2026-03-21,https://www.cisa.gov/sites/default/files/feeds/known_exploited_vulnerabilities.json,CISA KEV entry for CVE-2026-20963: Microsoft SharePoint.
documents/cisa_kev/cve-2025-47813_wing-ftp-server_wing-ftp-server.md,default,cisa-kev,public,2026-03-16,2026-03-30,https://www.cisa.gov/sites/default/files/feeds/known_exploited_vulnerabilities.json,CISA KEV entry for CVE-2025-47813: Wing FTP Server Wing FTP Server.
documents/cisa_kev/cve-2026-3910_google_chromium-v8.md,default,cisa-kev,public,2026-03-13,2026-03-27,https://www.cisa.gov/sites/default/files/feeds/known_exploited_vulnerabilities.json,CISA KEV entry for CVE-2026-3910: Google Chromium V8.
documents/cisa_kev/cve-2026-3909_google_skia.md,default,cisa-kev,public,2026-03-13,2026-03-27,https://www.cisa.gov/sites/default/files/feeds/known_exploited_vulnerabilities.json,CISA KEV entry for CVE-2026-3909: Google Skia.
documents/cisa_kev/cve-2025-68613_n8n_n8n.md,default,cisa-kev,public,2026-03-11,2026-03-25,https://www.cisa.gov/sites/default/files/feeds/known_exploited_vulnerabilities.json,CISA KEV entry for CVE-2025-68613: n8n n8n.
documents/cisa_kev/cve-2021-22054_omnissa_workspace-one-uem.md,default,cisa-kev,public,2026-03-09,2026-03-23,https://www.cisa.gov/sites/default/files/feeds/known_exploited_vulnerabilities.json,CISA KEV entry for CVE-2021-22054: Omnissa Workspace One UEM.
documents/cisa_kev/cve-2025-26399_solarwinds_web-help-desk.md,default,cisa-kev,public,2026-03-09,2026-03-12,https://www.cisa.gov/sites/default/files/feeds/known_exploited_vulnerabilities.json,CISA KEV entry for CVE-2025-26399: SolarWinds Web Help Desk.
documents/cisa_kev/cve-2026-1603_ivanti_endpoint-manager-epm.md,default,cisa-kev,public,2026-03-09,2026-03-23,https://www.cisa.gov/sites/default/files/feeds/known_exploited_vulnerabilities.json,CISA KEV entry for CVE-2026-1603: Ivanti  Endpoint Manager (EPM).
documents/cisa_kev/cve-2017-7921_hikvision_multiple-products.md,default,cisa-kev,public,2026-03-05,2026-03-26,https://www.cisa.gov/sites/default/files/feeds/known_exploited_vulnerabilities.json,CISA KEV entry for CVE-2017-7921: Hikvision Multiple Products.
documents/cisa_kev/cve-2021-22681_rockwell_multiple-products.md,default,cisa-kev,public,2026-03-05,2026-03-26,https://www.cisa.gov/sites/default/files/feeds/known_exploited_vulnerabilities.json,CISA KEV entry for CVE-2021-22681: Rockwell Multiple Products.
documents/cisa_kev/cve-2023-43000_apple_multiple-products.md,default,cisa-kev,public,2026-03-05,2026-03-26,https://www.cisa.gov/sites/default/files/feeds/known_exploited_vulnerabilities.json,CISA KEV entry for CVE-2023-43000: Apple Multiple Products.
documents/cisa_kev/cve-2021-30952_apple_multiple-products.md,default,cisa-kev,public,2026-03-05,2026-03-26,https://www.cisa.gov/sites/default/files/feeds/known_exploited_vulnerabilities.json,CISA KEV entry for CVE-2021-30952: Apple Multiple Products.
documents/cisa_kev/cve-2023-41974_apple_ios-and-ipados.md,default,cisa-kev,public,2026-03-05,2026-03-26,https://www.cisa.gov/sites/default/files/feeds/known_exploited_vulnerabilities.json,CISA KEV entry for CVE-2023-41974: Apple iOS and iPadOS.
documents/cisa_kev/cve-2026-22719_broadcom_vmware-aria-operations.md,default,cisa-kev,public,2026-03-03,2026-03-24,https://www.cisa.gov/sites/default/files/feeds/known_exploited_vulnerabilities.json,CISA KEV entry for CVE-2026-22719: Broadcom VMware Aria Operations.
documents/cisa_kev/cve-2026-21385_qualcomm_multiple-chipsets.md,default,cisa-kev,public,2026-03-03,2026-03-24,https://www.cisa.gov/sites/default/files/feeds/known_exploited_vulnerabilities.json,CISA KEV entry for CVE-2026-21385: Qualcomm Multiple Chipsets.
documents/cisa_kev/cve-2022-20775_cisco_sd-wan.md,default,cisa-kev,public,2026-02-25,2026-02-27,https://www.cisa.gov/sites/default/files/feeds/known_exploited_vulnerabilities.json,CISA KEV entry for CVE-2022-20775: Cisco SD-WAN.
documents/cisa_kev/cve-2026-20127_cisco_catalyst-sd-wan-controller-and-manager.md,default,cisa-kev,public,2026-02-25,2026-02-27,https://www.cisa.gov/sites/default/files/feeds/known_exploited_vulnerabilities.json,CISA KEV entry for CVE-2026-20127: Cisco Catalyst SD-WAN Controller and Manager.
documents/cisa_kev/cve-2026-25108_soliton-systems-k-k_filezen.md,default,cisa-kev,public,2026-02-24,2026-03-17,https://www.cisa.gov/sites/default/files/feeds/known_exploited_vulnerabilities.json,CISA KEV entry for CVE-2026-25108: Soliton Systems K.K FileZen.
documents/cisa_kev/cve-2025-49113_roundcube_webmail.md,default,cisa-kev,public,2026-02-20,2026-03-13,https://www.cisa.gov/sites/default/files/feeds/known_exploited_vulnerabilities.json,CISA KEV entry for CVE-2025-49113: Roundcube Webmail.
documents/cisa_kev/cve-2025-68461_roundcube_webmail.md,default,cisa-kev,public,2026-02-20,2026-03-13,https://www.cisa.gov/sites/default/files/feeds/known_exploited_vulnerabilities.json,CISA KEV entry for CVE-2025-68461: Roundcube Webmail.
documents/cisa_kev/cve-2021-22175_gitlab_gitlab.md,default,cisa-kev,public,2026-02-18,2026-03-11,https://www.cisa.gov/sites/default/files/feeds/known_exploited_vulnerabilities.json,CISA KEV entry for CVE-2021-22175: GitLab GitLab.
documents/cisa_kev/cve-2026-22769_dell_recoverpoint-for-virtual-machines-rp4vms.md,default,cisa-kev,public,2026-02-18,2026-02-21,https://www.cisa.gov/sites/default/files/feeds/known_exploited_vulnerabilities.json,CISA KEV entry for CVE-2026-22769: Dell RecoverPoint for Virtual Machines (RP4VMs).
documents/cisa_kev/cve-2020-7796_synacor_zimbra-collaboration-suite.md,default,cisa-kev,public,2026-02-17,2026-03-10,https://www.cisa.gov/sites/default/files/feeds/known_exploited_vulnerabilities.json,CISA KEV entry for CVE-2020-7796: Synacor Zimbra Collaboration Suite.
documents/cisa_kev/cve-2024-7694_teamt5_threatsonar-anti-ransomware.md,default,cisa-kev,public,2026-02-17,2026-03-10,https://www.cisa.gov/sites/default/files/feeds/known_exploited_vulnerabilities.json,CISA KEV entry for CVE-2024-7694: TeamT5 ThreatSonar Anti-Ransomware.
documents/cisa_kev/cve-2008-0015_microsoft_windows.md,default,cisa-kev,public,2026-02-17,2026-03-10,https://www.cisa.gov/sites/default/files/feeds/known_exploited_vulnerabilities.json,CISA KEV entry for CVE-2008-0015: Microsoft Windows.
documents/cisa_kev/cve-2026-2441_google_chromium.md,default,cisa-kev,public,2026-02-17,2026-03-10,https://www.cisa.gov/sites/default/files/feeds/known_exploited_vulnerabilities.json,CISA KEV entry for CVE-2026-2441: Google Chromium.
documents/cisa_kev/cve-2026-1731_beyondtrust_remote-support-rs-and-privileged-remote-access-pra.md,default,cisa-kev,public,2026-02-13,2026-02-16,https://www.cisa.gov/sites/default/files/feeds/known_exploited_vulnerabilities.json,CISA KEV entry for CVE-2026-1731: BeyondTrust Remote Support (RS) and Privileged Remote Access (PRA).
documents/cisa_kev/cve-2026-20700_apple_multiple-products.md,default,cisa-kev,public,2026-02-12,2026-03-05,https://www.cisa.gov/sites/default/files/feeds/known_exploited_vulnerabilities.json,CISA KEV entry for CVE-2026-20700: Apple Multiple Products.
documents/cisa_kev/cve-2024-43468_microsoft_configuration-manager.md,default,cisa-kev,public,2026-02-12,2026-03-05,https://www.cisa.gov/sites/default/files/feeds/known_exploited_vulnerabilities.json,CISA KEV entry for CVE-2024-43468: Microsoft Configuration Manager.
documents/cisa_kev/cve-2025-15556_notepad_notepad.md,default,cisa-kev,public,2026-02-12,2026-03-05,https://www.cisa.gov/sites/default/files/feeds/known_exploited_vulnerabilities.json,CISA KEV entry for CVE-2025-15556: Notepad++ Notepad++.
documents/cisa_kev/cve-2025-40536_solarwinds_web-help-desk.md,default,cisa-kev,public,2026-02-12,2026-02-15,https://www.cisa.gov/sites/default/files/feeds/known_exploited_vulnerabilities.json,CISA KEV entry for CVE-2025-40536: SolarWinds Web Help Desk.
documents/cisa_kev/cve-2026-21513_microsoft_windows.md,default,cisa-kev,public,2026-02-10,2026-03-03,https://www.cisa.gov/sites/default/files/feeds/known_exploited_vulnerabilities.json,CISA KEV entry for CVE-2026-21513: Microsoft Windows.
documents/cisa_kev/cve-2026-21525_microsoft_windows.md,default,cisa-kev,public,2026-02-10,2026-03-03,https://www.cisa.gov/sites/default/files/feeds/known_exploited_vulnerabilities.json,CISA KEV entry for CVE-2026-21525: Microsoft Windows.
documents/cisa_kev/cve-2026-21510_microsoft_windows.md,default,cisa-kev,public,2026-02-10,2026-03-03,https://www.cisa.gov/sites/default/files/feeds/known_exploited_vulnerabilities.json,CISA KEV entry for CVE-2026-21510: Microsoft Windows.
documents/cisa_kev/cve-2026-21533_microsoft_windows.md,default,cisa-kev,public,2026-02-10,2026-03-03,https://www.cisa.gov/sites/default/files/feeds/known_exploited_vulnerabilities.json,CISA KEV entry for CVE-2026-21533: Microsoft Windows.
documents/cisa_kev/cve-2026-21519_microsoft_windows.md,default,cisa-kev,public,2026-02-10,2026-03-03,https://www.cisa.gov/sites/default/files/feeds/known_exploited_vulnerabilities.json,CISA KEV entry for CVE-2026-21519: Microsoft Windows.
documents/cisa_kev/cve-2026-21514_microsoft_office.md,default,cisa-kev,public,2026-02-10,2026-03-03,https://www.cisa.gov/sites/default/files/feeds/known_exploited_vulnerabilities.json,CISA KEV entry for CVE-2026-21514: Microsoft Office.
documents/cisa_kev/cve-2025-11953_react-native-community_cli.md,default,cisa-kev,public,2026-02-05,2026-02-26,https://www.cisa.gov/sites/default/files/feeds/known_exploited_vulnerabilities.json,CISA KEV entry for CVE-2025-11953: React Native Community CLI.
documents/cisa_kev/cve-2026-24423_smartertools_smartermail.md,default,cisa-kev,public,2026-02-05,2026-02-26,https://www.cisa.gov/sites/default/files/feeds/known_exploited_vulnerabilities.json,CISA KEV entry for CVE-2026-24423: SmarterTools SmarterMail.
documents/cisa_kev/cve-2021-39935_gitlab_community-and-enterprise-editions.md,default,cisa-kev,public,2026-02-03,2026-02-24,https://www.cisa.gov/sites/default/files/feeds/known_exploited_vulnerabilities.json,CISA KEV entry for CVE-2021-39935: GitLab Community and Enterprise Editions.
documents/cisa_kev/cve-2025-64328_sangoma_freepbx.md,default,cisa-kev,public,2026-02-03,2026-02-24,https://www.cisa.gov/sites/default/files/feeds/known_exploited_vulnerabilities.json,CISA KEV entry for CVE-2025-64328: Sangoma FreePBX .
documents/cisa_kev/cve-2019-19006_sangoma_freepbx.md,default,cisa-kev,public,2026-02-03,2026-02-24,https://www.cisa.gov/sites/default/files/feeds/known_exploited_vulnerabilities.json,CISA KEV entry for CVE-2019-19006: Sangoma FreePBX.
documents/cisa_kev/cve-2025-40551_solarwinds_web-help-desk.md,default,cisa-kev,public,2026-02-03,2026-02-06,https://www.cisa.gov/sites/default/files/feeds/known_exploited_vulnerabilities.json,CISA KEV entry for CVE-2025-40551: SolarWinds Web Help Desk.
documents/cisa_kev/cve-2026-1281_ivanti_endpoint-manager-mobile-epmm.md,default,cisa-kev,public,2026-01-29,2026-02-01,https://www.cisa.gov/sites/default/files/feeds/known_exploited_vulnerabilities.json,CISA KEV entry for CVE-2026-1281: Ivanti Endpoint Manager Mobile (EPMM).
